Contestant,M?,F?,Season,Idols found,Idols held,Idols played,Votes voided,Boot avoided,Tie avoided,Day found,Day played,Notes
Tai Trang,1,,S34,3,3,3,6,1,,11,11,"First double-tribal: Tai gave his idol to Sierra at Tribal, she played it, saving herself from a 6-5 boot."
Sierra Thomas,,,S34,0,1,0,0,,,11,,"Tai gave his idol to Sierra at Tribal, she played it - credit for play/ votes voided goes to Tai"
JT Thomas,1,,S34,1,1,0,0,,,12,,Booted with idol buried back at camp
Sarah Lacina ,,,S34,0,1,1,3,1,,32,36,"Legacy advantage, willed from Sierra"
Ryan Ulrich,1,,S35,2,2,1,0,,,1,3,*Found a single-use Super Idol (Day 1); had to give it to someone on IC-losing tribe (chose Chrissy)
Chrissy Hofbeck,,,S35,0,1,0,0,,,3,,"*Single-use super idol, from Ryan, did not need to use it in Ep1"
Joe Mena,1,,S35,2,2,2,2,,1,5,11,"Finds Healers' hidden idol, in combination with Cole's clue-reading (Day 5); plays idol correctly (Ep4), avoiding a tie and booting Alan (Day 11)"
Mike Zahalsky,1,,S35,1,1,1,2,,,13,24,"Finds Yawa idol in same spot where Joe found his (by the well), Day 13"
Ben Driebergen,1,,S35,3,3,3,6,1,,27,33,"Found a post-merge idol (Day 27); played Day 33, voids all 6 votes against Ben, Lauren out instead [0]-1"
Lauren Rimmer,,1,S35,1,1,0,0,,,31,,"Found first half Day 31, second half at IC Day 33. Gave second half to Mike, who threw it in fire at Tribal, Day 33."
Jacob Derwin,1,,S36,1,1,0,0,,,3,4,"Legacy Advantage, forced to give it away the next day (gave to Morgan Ricke, Day 4)"
Domenick Abbate,1,,S36,1,1,1,0,,,4,37,"Started looking night of Day 3 (according to time-stamp), unclear when actually found; Is Andrea's idol from Caramoan; played at F5 for himself, 0 votes voided"
Morgan Ricke,,,S36,0,1,0,0,,,4,9,"Willed to Domenick when voted out, Day 9"
Michael Yerger,1,,S36,2,2,2,0,,,8,12,"Found with Brendan; is James Clement's (Fei Long) idol from China; played for Stephanie (Day 12), voiding zero votes"
Domenick Abbate,,,S36,0,1,1,0,,,9,22,"Played at merge, with 13 left"
Wendell Holland,1,,S36,1,1,1,1,,,18,37,"Found midday of Day 18, it's Erik Reichenbach's Micronesia necklace; played at F5 for Laurel, voiding 1 vote"
Chris Noble,1,,S36,1,1,0,0,,,20,,"Found at merge, it's JT's Game Changers idol, did not play at Tribal, voted out while holding it"
Donathan Hurley,1,,S36,1,1,1,1,,,27,29,"Two-part idol, from Scot and Tai's Kaoh Rong idols."
Dan Rengering,1,,S37,2,2,2,2,,,2,22,"Found with Kara and Natalia; played for Angelina, voiding 2 votes, but having no impact on John's boot"
Davie Rickenbacker,1,,S37,2,2,2,7,1,,4,22,"Found in David camp; played for Christian, voiding 7 votes and saving him"
Christian Hubicki,1,,S37,1,1,1,5,1,,24,32,"Found in a tree near camp; played for himself at F8, saving himself, voiding 5 votes"
Nick Wilson,1,,S37,1,1,1,0,,,26,35,"Clue found in camp, Day 26. Idol retrieved that night, at the end of the island. Played for himself, no votes voided."
Angelina Keeley,,1,S37,1,1,1,0,,,36,37,"Found clue, then climbed a ladder to retrieve idol behind well; played at F5, zero votes voided"
,61,17,Totals,103,125,74,120,18,4,,,
,,,,,,,,,,,,
,,,,% male finders: ,,0.59,,,,,,
,,,,% female finders:,,0.17,,,,,,
,,,,,,,,,,,,
,,"% male, not counting Legacy Adv:",,,,0.60,,,,,,
,,"% female, not counting Legacy Adv:",,,,0.15,,,,,,
,,,,"Idols found, -LA:",,100,,,,,,
