contestant,age,city,state_abbr,season,finish,tribalChallengeWins,individualChallengeWins,totalWins,daysLasted,votesAgainst,iconPictureURL,gender,occupation,fullPictureURL,season_number
Patricia Jackson,49,Lugoff,SC,Marquesas,15,0,NA,0,6,5,https://vignette.wikia.nocookie.net/survivor/images/6/68/S4_patricia_t.png/revision/latest?cb=20180526005654,Female,Truck Assembler,https://vignette.wikia.nocookie.net/survivor/images/1/1b/S4_Patricia_Jackson.jpg/revision/latest?cb=20120609060405,4
Hunter Ellis,33,La Jolla,CA,Marquesas,14,0,NA,0,9,4,https://vignette.wikia.nocookie.net/survivor/images/c/c7/S4_hunter_t.png/revision/latest?cb=20180526005651,Male,Former Navy Fighter Pilot,https://vignette.wikia.nocookie.net/survivor/images/e/e2/S4_Hunter_Ellis.jpg/revision/latest?cb=20120609060438,4
Sarah Jones,24,Newport Beach,CA,Marquesas,13,0,NA,0,12,11,https://vignette.wikia.nocookie.net/survivor/images/f/f1/S4_sarah_t.png/revision/latest?cb=20180526005656,Female,Account Manager,https://vignette.wikia.nocookie.net/survivor/images/4/4c/S4_Sarah_Jones.jpg/revision/latest?cb=20120609060511,4
Gabriel Cade,23,Los Angeles,CA,Marquesas,12,6,NA,6,15,7,https://vignette.wikia.nocookie.net/survivor/images/3/3e/S4_gabriel_t.png/revision/latest?cb=20180526005650,Male,Bartender,https://vignette.wikia.nocookie.net/survivor/images/d/d4/S4_Gabriel_Cade.jpg/revision/latest?cb=20120609060623,4
Gina Crews,28,Gainesville,FL,Marquesas,11,3,NA,3,18,3,https://vignette.wikia.nocookie.net/survivor/images/3/3e/S4_gina_t.png/revision/latest?cb=20180526005651,Female,Nature Guide,https://vignette.wikia.nocookie.net/survivor/images/b/b1/S4_Gina_Crews.jpg/revision/latest?cb=20120609060647,4
Rob Mariano,25,Canton,MA,Marquesas,10,2,0,2,21,8,https://vignette.wikia.nocookie.net/survivor/images/8/8d/S4_rob_t.png/revision/latest?cb=20180526005655,Male,"Construction Worker
Aspiring poker player",https://vignette.wikia.nocookie.net/survivor/images/8/8a/S22_Rob_Mariano.jpg/revision/latest?cb=20120617044212,4
John Carroll,36,Omaha,NE,Marquesas,9,7,0,7,24,8,https://vignette.wikia.nocookie.net/survivor/images/a/a2/S4_john_t.png/revision/latest?cb=20180526005652,Male,Registered Nurse,https://vignette.wikia.nocookie.net/survivor/images/f/fb/S4_John_Carroll.jpg/revision/latest?cb=20120609060824,4
Zoe Zanidakis,35,Monhegan Island,ME,Marquesas,8,7,0,7,27,8,https://vignette.wikia.nocookie.net/survivor/images/3/3e/S4_zoe_t.png/revision/latest?cb=20180526005658,Female,Fishing Boat Captain,https://vignette.wikia.nocookie.net/survivor/images/3/3d/S4_Zoe_Zanidakis.jpg/revision/latest?cb=20120609061012,4
Tammy Leitner,29,Mesa,AZ,Marquesas,7,7,2,9,30,5,https://vignette.wikia.nocookie.net/survivor/images/3/3e/S4_tammy_t.png/revision/latest?cb=20180526005657,Female,Crime Reporter,https://vignette.wikia.nocookie.net/survivor/images/1/10/S4_Tammy_Leitner.jpg/revision/latest?cb=20120609061024,4
Robert DeCanio,38,College Point,NY,Marquesas,6,7,1,8,33,6,https://vignette.wikia.nocookie.net/survivor/images/c/c8/S4_robert_t.png/revision/latest?cb=20180526005655,Male,Limousine Driver,https://vignette.wikia.nocookie.net/survivor/images/8/87/S4_Robert_DeCanio.jpg/revision/latest?cb=20120609061041,4
Sean Rector,30,Los Angeles,CA,Marquesas,5,2,2,4,36,7,https://vignette.wikia.nocookie.net/survivor/images/7/7c/S4_sean_t.png/revision/latest?cb=20180526005656,Male,Teacher,https://vignette.wikia.nocookie.net/survivor/images/6/60/S4_Sean_Rector.jpg/revision/latest?cb=20120609061106,4
Paschal English,56,Thomaston,GA,Marquesas,4,8,2,10,37,0,https://vignette.wikia.nocookie.net/survivor/images/f/fd/S4_paschal_t.png/revision/latest?cb=20180526005653,Male,Judge,https://vignette.wikia.nocookie.net/survivor/images/f/fd/S4_Paschal_English.jpg/revision/latest?cb=20120609061320,4
Kathy Vavrick-O'Brien,47,Burlington,VT,Marquesas,3rd,8,4,12,38,5,https://vignette.wikia.nocookie.net/survivor/images/4/47/S4_kathy_t.png/revision/latest?cb=20180526005652,Female,Real Estate Agent,https://vignette.wikia.nocookie.net/survivor/images/0/0c/S8_Kathy_Vavrick-O%27Brien.jpg/revision/latest?cb=20120611064333,4
Neleh Dennis,21,Layton,UT,Marquesas,2,8,1,9,39,4,https://vignette.wikia.nocookie.net/survivor/images/5/57/S4_neleh_t.png/revision/latest?cb=20180526005653,Female,Student,https://vignette.wikia.nocookie.net/survivor/images/6/6e/S4_Neleh_Dennis.jpg/revision/latest?cb=20120609061405,4
Vecepia Towery,36,Hayward,CA,Marquesas,1,2,2,4,39,2,https://vignette.wikia.nocookie.net/survivor/images/3/33/S4_vecepia_t.png/revision/latest?cb=20180526005658,Female,Office Manager,https://vignette.wikia.nocookie.net/survivor/images/a/ad/S4_Vecepia_Towery.jpg/revision/latest?cb=20120609061423,4
John Raymond,40,Slidell,LA,Thailand,16,0,NA,0,3,6,https://vignette.wikia.nocookie.net/survivor/images/f/ff/S5_john_t.png/revision/latest?cb=20180526214925,Male,Pastor,https://vignette.wikia.nocookie.net/survivor/images/c/c9/S5_John_Raymond.jpg/revision/latest?cb=20120610040118,5
Tanya Vance,27,Gray,TN,Thailand,15,0,NA,0,6,5,https://vignette.wikia.nocookie.net/survivor/images/6/68/S5_tanya_t.png/revision/latest?cb=20180526214928,Female,Social Worker,https://vignette.wikia.nocookie.net/survivor/images/a/a9/S5_Tanya_Vance.jpg/revision/latest?cb=20120610040207,5
