contestant,age,city,state_abbr,season.x,finish,tribalChallengeWins,individualChallengeWins,totalWins,daysLasted,votesAgainst,gender,occupation,season_number,idols_found,idols_played
Rudy Boesch,75,Virginia Beach,VA,All-Stars,17,1,NA,1,6,3,Male,Retired Navy SEAL,8,NA,NA
Jenna Morasca,22,Bridgeville,PA,All-Stars,16,3,NA,3,9,NA,Female,Swimsuit Model,8,NA,NA
Rob Cesternino,25,Plainview,NY,All-Stars,15,4,NA,4,12,5,Male,Computer Projects Coordinator,8,NA,NA
Richard Hatch,42,Middletown,RI,All-Stars,14,5,NA,5,15,6,Male,Corporate Trainer,8,NA,NA
Susan Hawk,42,Las Vegas,NV,All-Stars,13,6,NA,6,17,0,Female,Truck Driver,8,NA,NA
Colby Donaldson,29,Dallas,TX,All-Stars,12,6,NA,6,19,4,Male,Auto Customizer,8,NA,NA
Ethan Zohn,30,New York City,NY,All-Stars,11,4,NA,4,21,6,Male,Professional Soccer Player,8,NA,NA
Jerri Manthey,33,Los Angeles,CA,All-Stars,10,4,NA,4,24,7,Female,Aspiring Actress,8,NA,NA
Lex van den Berghe,40,Santa Cruz,CA,All-Stars,9,6,0,6,27,7,Male,Marketing Manager,8,NA,NA
Kathy Vavrick-O'Brien,49,Burlington,VT,All-Stars,8,6,1,7,28,6,Female,Real Estate Agent,8,NA,NA
Alicia Calaway,35,New York City,NY,All-Stars,7,11,1,12,30,7,Female,Personal Trainer,8,NA,NA
Shii Ann Huang,29,New York City,NY,All-Stars,6,6,2,8,33,5,Female,Executive Recruiter,8,NA,NA
Tom Buchanan,48,Rich Valley,VA,All-Stars,5,10,2,12,36,4,Male,Goat Farmer,8,NA,NA
Rupert Boneham,39,Indianapolis,IN,All-Stars,4,8,2,10,37,4,Male,Troubled Teens Mentor,8,NA,NA
Jenna Lewis,26,Burbank,CA,All-Stars,3rd,8,0,8,38,4,Female,Student,8,NA,NA
Rob Mariano,27,Canton,MA,All-Stars,2,10,5,15,39,1,Male,"Construction Worker
Aspiring poker player",8,NA,NA
Amber Brkich,25,Beaver,PA,All-Stars,1,10,2,12,39,6,Female,Administrative Assistant,8,NA,NA
Brook Geraghty,27,Winthrop,MA,Vanuatu,18,0,NA,0,3,5,Male,Document Manager,9,NA,NA
Dolly Neely,25,Mercer,PA,Vanuatu,17,2,NA,2,6,5,Female,Sheep Farmer,9,NA,NA
John Palyok,31,Los Angeles,CA,Vanuatu,16,2,0,2,7,5,Male,Sales Manager,9,NA,NA
